doctor_id	specialty	medication	nb_beneficiaries	spending	log_spending	medication_name	opioid	antibiotic	high_risk	antipsychotic	indication_flag
1255626040	FAMILY PRACTICE	METFORMIN HCL	30	135.24	4.907050977839686	METFORMIN HCL	0	0	0	0	not_ctr_indic
1912118928	FAMILY PRACTICE	METFORMIN HCL	20	1066.9	6.9725125261974155	METFORMIN HCL	0	0	0	0	not_ctr_indic
1023116894	FAMILY PRACTICE	METFORMIN HCL	161	726.6	6.588376119787101	METFORMIN HCL	0	0	0	0	not_ctr_indic
1871916031	FAMILY PRACTICE	METFORMIN HCL	59	235.41	5.461328674807492	METFORMIN HCL	0	0	0	0	not_ctr_indic
1467565440	FAMILY PRACTICE	METFORMIN HCL	22	3373.47	8.123697167186675	METFORMIN HCL	0	0	0	0	not_ctr_indic
1528385762	CERTIFIED CLINICAL NURSE SPECIALIST	METFORMIN HCL	12	629.57	6.445037046666786	METFORMIN HCL	0	0	0	0	not_ctr_indic
1699118745	FAMILY PRACTICE	METFORMIN HCL	17	86.25	4.457250055911469	METFORMIN HCL	0	0	0	0	not_ctr_indic
1811967383	NURSE PRACTITIONER	METFORMIN HCL	114	940.92	6.846858120030831	METFORMIN HCL	0	0	0	0	not_ctr_indic
1194718841	INTERNAL MEDICINE	METFORMIN HCL	53	340.75	5.831149070576642	METFORMIN HCL	0	0	0	0	not_ctr_indic
1851666473	INTERNAL MEDICINE	METFORMIN HCL	43	525.54	6.2644263054030525	METFORMIN HCL	0	0	0	0	not_ctr_indic
1144556846	INTERNAL MEDICINE	METFORMIN HCL	67	604.71	6.404749004268278	METFORMIN HCL	0	0	0	0	not_ctr_indic
1427175652	FAMILY PRACTICE	METFORMIN HCL	39	221.29	5.399474058507774	METFORMIN HCL	0	0	0	0	not_ctr_indic
1053328120	PHYSICIAN ASSISTANT	METFORMIN HCL	21	107.15	4.674229721919586	METFORMIN HCL	0	0	0	0	not_ctr_indic
1851310965	FAMILY PRACTICE	METFORMIN HCL	49	1841.67	7.518428047670957	METFORMIN HCL	0	0	0	0	not_ctr_indic
1235392689	NURSE PRACTITIONER	METFORMIN HCL	41	178.8	5.186267862739414	METFORMIN HCL	0	0	0	0	not_ctr_indic
1548466329	FAMILY PRACTICE	METFORMIN HCL	71	862.71	6.760078597530363	METFORMIN HCL	0	0	0	0	not_ctr_indic
1154719102	NURSE PRACTITIONER	METFORMIN HCL	31	163.28	5.095466518501589	METFORMIN HCL	0	0	0	0	not_ctr_indic
1831482777	PHYSICIAN ASSISTANT	METFORMIN HCL	18	180.14	5.193734326355597	METFORMIN HCL	0	0	0	0	not_ctr_indic
1982799391	INTERNAL MEDICINE	METFORMIN HCL	96	420.54	6.041539599740289	METFORMIN HCL	0	0	0	0	not_ctr_indic
1235111220	FAMILY PRACTICE	METFORMIN HCL	67	1070.28	6.975675575466116	METFORMIN HCL	0	0	0	0	not_ctr_indic
1336123272	INTERNAL MEDICINE	METFORMIN HCL	38	423.03	6.047443098517248	METFORMIN HCL	0	0	0	0	not_ctr_indic
1013019470	INTERNAL MEDICINE	METFORMIN HCL	873	4755.77	8.467113896674933	METFORMIN HCL	0	0	0	0	not_ctr_indic
1205867561	FAMILY PRACTICE	METFORMIN HCL	167	1177.89	7.071479981243669	METFORMIN HCL	0	0	0	0	not_ctr_indic
1831112572	FAMILY PRACTICE	METFORMIN HCL	30	2951.87	7.9901941468102855	METFORMIN HCL	0	0	0	0	not_ctr_indic
1396784286	EMERGENCY MEDICINE	METFORMIN HCL	18	97.06	4.57532934397707	METFORMIN HCL	0	0	0	0	not_ctr_indic
1578566675	INTERNAL MEDICINE	METFORMIN HCL	349	2283.65	7.733530319103516	METFORMIN HCL	0	0	0	0	not_ctr_indic
1760617971	INTERNAL MEDICINE	METFORMIN HCL	695	2627.28	7.873704369464412	METFORMIN HCL	0	0	0	0	not_ctr_indic
1467409797	INTERNAL MEDICINE	METFORMIN HCL	19	824.02	6.714194801459575	METFORMIN HCL	0	0	0	0	not_ctr_indic
1215912050	INTERNAL MEDICINE	METFORMIN HCL	18	236.79	5.46717367238842	METFORMIN HCL	0	0	0	0	not_ctr_indic
1942374681	INTERNAL MEDICINE	METFORMIN HCL	17	121.41	4.799173247555884	METFORMIN HCL	0	0	0	0	not_ctr_indic
1790816551	DENTIST	METFORMIN HCL	12	48.81	3.887935209899056	METFORMIN HCL	0	0	0	0	not_ctr_indic
1386781136	INTERNAL MEDICINE	METFORMIN HCL	39	501.04	6.216685938217157	METFORMIN HCL	0	0	0	0	not_ctr_indic
1750479952	ENDOCRINOLOGY	METFORMIN HCL	47	3392.46	8.1293106009247	METFORMIN HCL	0	0	0	0	not_ctr_indic
1306268735	PHYSICIAN ASSISTANT	METFORMIN HCL	119	909.52	6.812916987820851	METFORMIN HCL	0	0	0	0	not_ctr_indic
1871906396	STUDENT IN AN ORGANIZED HEALTH CARE EDUCATION/TRAINING PROGRAM	METFORMIN HCL	11	44.6	3.7977338590260183	METFORMIN HCL	0	0	0	0	not_ctr_indic
1457388266	FAMILY PRACTICE	METFORMIN HCL	302	1593.91	7.373945396024644	METFORMIN HCL	0	0	0	0	not_ctr_indic
1336295633	FAMILY PRACTICE	METFORMIN HCL	55	646.38	6.471387566134156	METFORMIN HCL	0	0	0	0	not_ctr_indic
1437475829	INTERNAL MEDICINE	METFORMIN HCL	21	248.92	5.517131559701017	METFORMIN HCL	0	0	0	0	not_ctr_indic
1104093277	ENDOCRINOLOGY	METFORMIN HCL	23	203.94	5.317825832936079	METFORMIN HCL	0	0	0	0	not_ctr_indic
1376513838	EMERGENCY MEDICINE	METFORMIN HCL	20	175.3	5.1664987919271885	METFORMIN HCL	0	0	0	0	not_ctr_indic
1598735995	PHYSICIAN ASSISTANT	METFORMIN HCL	132	1338.87	7.199581253599247	METFORMIN HCL	0	0	0	0	not_ctr_indic
1689781312	GENERAL PRACTICE	METFORMIN HCL	162	887.24	6.788115520682589	METFORMIN HCL	0	0	0	0	not_ctr_indic
1457347064	FAMILY PRACTICE	METFORMIN HCL	53	546.38	6.303314704365582	METFORMIN HCL	0	0	0	0	not_ctr_indic
1477525731	FAMILY PRACTICE	METFORMIN HCL	46	224.45	5.413652965227941	METFORMIN HCL	0	0	0	0	not_ctr_indic
